	参数	说明	类型	默认值
ok	afterClose	Modal 完全关闭后的回调	function	-
ok	bodyStyle	Modal body 样式	object	{}
ok	cancelText	取消按钮文字	string|ReactNode	取消
ok	centered	垂直居中展示 Modal	Boolean	false
ok	closable	是否显示右上角的关闭按钮	boolean	true
ok	closeIcon	自定义关闭图标	ReactNode	-
no	confirmLoading	确定按钮 loading	boolean	false		
no	destroyOnClose	关闭时销毁 Modal 里的子元素	boolean	false
no	footer	底部内容，当不需要默认底部按钮时，可以设为 footer={null}	string|ReactNode	确定取消按钮
no	forceRender	强制渲染 Modal	boolean	false
no	getContainer	指定 Modal 挂载的 HTML 节点, false 为挂载在当前 dom	HTMLElement | () => HTMLElement | Selectors | false	document.body
no	keyboard	是否支持键盘 esc 关闭	boolean	true
ok	mask	是否展示遮罩	Boolean	true
no	maskClosable	点击蒙层是否允许关闭	boolean	true
ok	maskStyle	遮罩样式	object	{}
ok	okText	确认按钮文字	string|ReactNode	确定
ok	okType	确认按钮类型	string	primary
ok	okButtonProps	ok 按钮 props	ButtonProps	-
no	cancelButtonProps	cancel 按钮 props	ButtonProps	-
ok	style	可用于设置浮层的样式，调整浮层位置等	CSSProperties	-
ok	title	标题	string|ReactNode	-
ok	visible	对话框是否可见	boolean	-
ok	width	宽度	string|number	520
no	wrapClassName	对话框外层容器的类名	string	-
ok	zIndex	设置 Modal 的 z-index	Number	1000
ok	onCancel	点击遮罩层或右上角叉或取消按钮的回调	function(e)	-
ok	onOk	点击确定回调
